probe voltage (V), probe current (A), resistance (9.9e37 if not enabled) , timestamp , status word ,Unnamed: 5
-2.000000E+02,-1.7677599999999998e-05,9.91e+37,58.36914,21508.0,
-1.950000E+02,-1.2733450000000001e-05,9.91e+37,59.428709999999995,21508.0,
-1.900000E+02,-1.260818e-05,9.91e+37,60.510740000000006,21508.0,
-1.850000E+02,-1.2209080000000002e-05,9.91e+37,61.569340000000004,21508.0,
-1.800000E+02,-1.7883679999999998e-05,9.91e+37,62.63086,21508.0,
-1.750000E+02,-1.146042e-05,9.91e+37,63.69238000000001,21508.0,
-1.700000E+02,-1.100729e-05,9.91e+37,64.75195,21508.0,
-1.650000E+02,-1.065264e-05,9.91e+37,65.84473,21508.0,
-1.600000E+02,-1.030913e-05,9.91e+37,66.92383000000001,21508.0,
-1.550000E+02,-1.0053e-05,9.91e+37,67.98437,21508.0,
-1.500000E+02,-9.622091000000001e-06,9.91e+37,69.07813,21508.0,
-1.450000E+02,-9.283116e-06,9.91e+37,70.15723,21508.0,
-1.400000E+02,-8.943641e-06,9.91e+37,71.21582,21508.0,
-1.350000E+02,-8.666296e-06,9.91e+37,72.2793,21508.0,
-1.300000E+02,-8.26317e-06,9.91e+37,73.33789,21508.0,
-1.250000E+02,-7.921169e-06,9.91e+37,74.39746,21508.0,
-1.200000E+02,-7.591285e-06,9.91e+37,75.45605,21508.0,
-1.150000E+02,-7.245749e-06,9.91e+37,76.5166,21508.0,
-1.100000E+02,-6.9098109999999996e-06,9.91e+37,77.5791,21508.0,
-1.050000E+02,-6.562757e-06,9.91e+37,78.6377,21508.0,
-1.000000E+02,-6.175796e-06,9.91e+37,79.69922,21508.0,
-9.500000E+01,-5.886332e-06,9.91e+37,80.75780999999999,21508.0,
-9.000000E+01,-5.545845e-06,9.91e+37,81.81543,21508.0,
-8.500000E+01,-5.196768e-06,9.91e+37,82.875,21508.0,
-8.000000E+01,-4.835066e-06,9.91e+37,83.95312,21508.0,
-7.500000E+01,-4.472353e-06,9.91e+37,85.01172,21508.0,
-7.000000E+01,-4.101555e-06,9.91e+37,86.07129,21508.0,
-6.500000E+01,-3.7196480000000004e-06,9.91e+37,87.13379,21508.0,
-6.000000E+01,-3.3321780000000003e-06,9.91e+37,88.19434,21508.0,
-5.500000E+01,-2.936634e-06,9.91e+37,89.25195,21508.0,
-5.000000E+01,-2.525424e-06,9.91e+37,90.30859,21508.0,
-4.500000E+01,-2.091987e-06,9.91e+37,91.36914,21508.0,
-4.000000E+01,-1.6186429999999998e-06,9.91e+37,92.42773000000001,21508.0,
-3.500000E+01,-1.090235e-06,9.91e+37,93.4873,21508.0,
