probe voltage (V), probe current (A), resistance (9.9e37 if not enabled) , timestamp , status word ,Unnamed: 5
-1.000000E+02,-3.8302569999999994e-06,9.91e+37,3050.006,21508.0,
-9.797500E+01,-3.799953e-06,9.91e+37,3051.065,21508.0,
-9.595000E+01,-3.73126e-06,9.91e+37,3052.1240000000003,21508.0,
-9.393000E+01,-3.643875e-06,9.91e+37,3053.1859999999997,21508.0,
-9.190500E+01,-3.5504309999999997e-06,9.91e+37,3054.243,21508.0,
-8.988000E+01,-3.447896e-06,9.91e+37,3055.304,21508.0,
-8.785500E+01,-3.342835e-06,9.91e+37,3056.363,21508.0,
-8.583500E+01,-3.2387839999999998e-06,9.91e+37,3057.425,21508.0,
-8.381000E+01,-3.128673e-06,9.91e+37,3058.487,21508.0,
-8.178500E+01,-3.0215890000000003e-06,9.91e+37,3059.5490000000004,21508.0,
-7.976000E+01,-2.9084469999999998e-06,9.91e+37,3060.607,21508.0,
-7.774000E+01,-2.799348e-06,9.91e+37,3061.6690000000003,21508.0,
-7.571500E+01,-2.687719e-06,9.91e+37,3062.7290000000003,21508.0,
-7.369000E+01,-2.572051e-06,9.91e+37,3063.7859999999996,21508.0,
-7.166500E+01,-2.4634540000000002e-06,9.91e+37,3064.847,21508.0,
-6.964500E+01,-2.339706e-06,9.91e+37,3065.905,21508.0,
-6.762000E+01,-2.2311089999999997e-06,9.91e+37,3066.9629999999997,21508.0,
-6.559500E+01,-2.114936e-06,9.91e+37,3068.0229999999997,21508.0,
-6.357000E+01,-2.011893e-06,9.91e+37,3069.085,21508.0,
-6.155000E+01,-1.8886500000000001e-06,9.91e+37,3070.167,21508.0,
-5.952500E+01,-1.773992e-06,9.91e+37,3071.228,21508.0,
-5.750000E+01,-1.659839e-06,9.91e+37,3072.285,21508.0,
-5.547500E+01,-1.537099e-06,9.91e+37,3073.343,21508.0,
-5.345000E+01,-1.423956e-06,9.91e+37,3074.403,21508.0,
-5.143000E+01,-1.2986920000000002e-06,9.91e+37,3075.4629999999997,21508.0,
-4.940500E+01,-1.1719119999999999e-06,9.91e+37,3076.5209999999997,21508.0,
-4.738000E+01,-1.042607e-06,9.91e+37,3077.583,21508.0,
-4.535500E+01,-9.072388000000001e-07,9.91e+37,3078.659,21508.0,
-4.333500E+01,-7.612654000000001e-07,9.91e+37,3079.739,21508.0,
-4.131000E+01,-6.253935999999999e-07,9.91e+37,3080.7990000000004,21508.0,
-3.928500E+01,-4.89521e-07,9.91e+37,3081.8579999999997,21508.0,
-3.726000E+01,-3.546595e-07,9.91e+37,3082.93,21508.0,
-3.524000E+01,-2.384863e-07,9.91e+37,3083.99,21508.0,
-3.321500E+01,-1.329202e-07,9.91e+37,3085.0690000000004,21508.0,
-3.119000E+01,-1.624209e-08,9.91e+37,3086.1279999999997,21508.0,
-2.916500E+01,1.3173899999999999e-07,9.91e+37,3087.19,21508.0,
-2.714500E+01,3.24668e-07,9.91e+37,3088.248,21508.0,
-2.512000E+01,5.175974e-07,9.91e+37,3089.305,21508.0,
-2.309500E+01,7.362834000000001e-07,9.91e+37,3090.387,21508.0,
-2.107000E+01,1.003959e-06,9.91e+37,3091.4429999999998,21508.0,
-1.905000E+01,1.2923419999999998e-06,9.91e+37,3092.5209999999997,21508.0,
-1.702500E+01,1.6191079999999999e-06,9.91e+37,3093.583,21508.0,
-1.500000E+01,2.0797130000000003e-06,9.91e+37,3094.643,21508.0,
-1.000000E+02,-4.061085e-06,9.91e+37,3095.722,21508.0,
current through plasma (-mA) <tab> voltage across plasma (-V) <tab> time (sec),,,,,
0.961508	537.611288	0.001000,,,,,
0.960907	537.683505	0.101000,,,,,
0.964095	537.418733	0.201000,,,,,
0.967501	537.167799	0.301000,,,,,
0.968580	537.136625	0.401000,,,,,
0.965637	537.332305	0.501000,,,,,
0.961465	537.564588	0.601000,,,,,
0.961186	537.682359	0.701000,,,,,
0.962925	537.488186	0.801000,,,,,
0.965990	537.203217	0.901000,,,,,
0.968592	537.068812	1.001000,,,,,
0.967563	537.159870	1.101000,,,,,
0.963263	537.364769	1.202000,,,,,
0.960415	537.654423	1.301000,,,,,
0.961952	537.558401	1.401000,,,,,
0.965659	537.258640	1.501000,,,,,
0.968635	537.065400	1.601000,,,,,
0.968611	537.036019	1.701000,,,,,
0.965524	537.255628	1.801000,,,,,
0.962058	537.531468	1.901000,,,,,
0.960886	537.598010	2.001000,,,,,
0.964331	537.295024	2.101000,,,,,
0.968019	537.072895	2.202000,,,,,
0.968818	537.090463	2.301000,,,,,
0.966175	537.260092	2.401000,,,,,
0.963452	537.439125	2.501000,,,,,
0.961681	537.539465	2.601000,,,,,
0.963252	537.412016	2.701000,,,,,
0.967469	537.036720	2.801000,,,,,
0.970284	536.907424	2.901000,,,,,
0.968331	537.019203	3.003000,,,,,
0.964348	537.270359	3.101000,,,,,
0.961950	537.510712	3.201000,,,,,
0.962684	537.462194	3.302000,,,,,
0.965970	537.158856	3.402000,,,,,
0.969320	536.949494	3.501000,,,,,
0.970008	536.896088	3.601000,,,,,
0.965709	537.148347	3.702000,,,,,
0.962527	537.432936	3.801000,,,,,
0.962279	537.456383	3.901000,,,,,
0.965307	537.227526	4.001000,,,,,
0.968710	537.001173	4.101000,,,,,
0.970309	536.882961	4.201000,,,,,
0.968776	536.938429	4.301000,,,,,
0.964918	537.272337	4.401000,,,,,
0.962260	537.362234	4.501000,,,,,
0.963571	537.257794	4.601000,,,,,
0.967356	537.056086	4.701000,,,,,
0.969913	536.848727	4.801000,,,,,
0.969400	536.835696	4.901000,,,,,
0.967086	537.153207	5.001000,,,,,
0.963224	537.377961	5.101000,,,,,
0.962373	537.407829	5.201000,,,,,
0.966507	537.149983	5.301000,,,,,
0.970587	536.773651	5.401000,,,,,
0.970254	536.723300	5.501000,,,,,
0.968132	536.962506	5.601000,,,,,
0.964860	537.198336	5.701000,,,,,
0.962929	537.329497	5.801000,,,,,
0.964906	537.192600	5.901000,,,,,
0.968981	536.888240	6.001000,,,,,
0.971062	536.711801	6.101000,,,,,
0.969473	536.884615	6.201000,,,,,
0.966168	537.099904	6.301000,,,,,
0.963915	537.218762	6.401000,,,,,
0.964242	537.168680	6.501000,,,,,
0.967782	536.964131	6.602000,,,,,
0.971534	536.663688	6.701000,,,,,
0.971177	536.634134	6.801000,,,,,
0.967674	536.988882	6.902000,,,,,
0.964003	537.223138	7.001000,,,,,
0.963768	537.178313	7.102000,,,,,
0.967188	536.950966	7.201000,,,,,
0.970209	536.724956	7.301000,,,,,
0.971244	536.619100	7.401000,,,,,
0.969595	536.811482	7.501000,,,,,
0.965395	537.113972	7.601000,,,,,
0.963581	537.167860	7.701000,,,,,
0.966358	537.066311	7.801000,,,,,
0.970164	536.766521	7.901000,,,,,
0.971712	536.611989	8.001000,,,,,
0.970531	536.711880	8.112000,,,,,
0.966844	536.978100	8.201000,,,,,
0.963816	537.095248	8.301000,,,,,
0.964797	537.135090	8.401000,,,,,
0.968956	536.842950	8.501000,,,,,
0.972314	536.495475	8.601000,,,,,
0.971470	536.672926	8.701000,,,,,
0.968085	536.898638	8.802000,,,,,
0.965184	537.039226	8.901000,,,,,
0.965242	537.043344	9.001000,,,,,
0.968332	536.813023	9.114000,,,,,
0.971725	536.509764	9.201000,,,,,
0.972769	536.505283	9.301000,,,,,
0.969441	536.793248	9.401000,,,,,
0.965294	536.975587	9.502000,,,,,
0.965238	537.110542	9.601000,,,,,
0.967315	536.898422	9.701000,,,,,
0.970255	536.603735	9.801000,,,,,
0.972768	536.482497	9.901000,,,,,
0.971342	536.578538	10.001000,,,,,
0.966881	536.796340	10.101000,,,,,
0.964888	537.020249	10.201000,,,,,
0.966794	536.925288	10.301000,,,,,
0.970484	536.617588	10.401000,,,,,
0.973102	536.475122	10.501000,,,,,
0.972161	536.559219	10.601000,,,,,
0.968172	536.790352	10.701000,,,,,
0.964889	537.009964	10.801000,,,,,
0.965752	536.957312	10.901000,,,,,
0.969379	536.617127	11.001000,,,,,
0.973217	536.413351	11.101000,,,,,
0.972716	536.486657	11.201000,,,,,
0.969485	536.652604	11.302000,,,,,
0.966760	536.865431	11.401000,,,,,
0.966027	536.973570	11.501000,,,,,
0.968512	536.741532	11.601000,,,,,
0.972435	536.405447	11.701000,,,,,
0.974152	536.317376	11.801000,,,,,
0.971231	536.533065	11.901000,,,,,
0.967030	536.719966	12.001000,,,,,
0.965887	536.894882	12.101000,,,,,
0.967452	536.827818	12.201000,,,,,
0.971278	536.454781	12.301000,,,,,
0.974039	536.368834	12.401000,,,,,
0.972849	536.416833	12.501000,,,,,
0.968462	536.662901	12.601000,,,,,
0.966064	536.875918	12.701000,,,,,
0.967520	536.779731	12.801000,,,,,
0.970863	536.432662	12.901000,,,,,
0.973689	536.335617	13.001000,,,,,
0.973620	536.345778	13.101000,,,,,
0.970285	536.571913	13.201000,,,,,
0.966739	536.844670	13.301000,,,,,
0.966427	536.817942	13.401000,,,,,
0.969806	536.522206	13.501000,,,,,
0.973760	536.269733	13.601000,,,,,
0.973833	536.279138	13.701000,,,,,
0.970963	536.394022	13.801000,,,,,
0.968189	536.690227	13.901000,,,,,
0.966747	536.809887	14.001000,,,,,
0.969116	536.569568	14.101000,,,,,
0.973917	536.341880	14.201000,,,,,
0.975295	536.158688	14.301000,,,,,
0.972048	536.352896	14.401000,,,,,
0.968690	536.638147	14.502000,,,,,
