probe voltage (V), probe current (A), resistance (9.9e37 if not enabled) , timestamp , status word ,Unnamed: 5
-8.000000E+01,-1.657481e-07,9.91e+37,1681.746,21508.0,
-7.950000E+01,-1.298867e-07,9.91e+37,1682.8239999999998,21508.0,
-7.900000E+01,-1.1624930000000001e-07,9.91e+37,1683.884,21508.0,
-7.850000E+01,-1.187748e-07,9.91e+37,1684.9579999999999,21508.0,
-7.800000E+01,-9.251021000000002e-08,9.91e+37,1686.036,21508.0,
-7.750000E+01,-9.048981e-08,9.91e+37,1687.096,21508.0,
-7.700000E+01,-7.230661e-08,9.91e+37,1688.151,21508.0,
-7.650000E+01,-5.7153929999999994e-08,9.91e+37,1689.224,21508.0,
-7.600000E+01,-4.705215e-08,9.91e+37,1690.281,21508.0,
-7.550000E+01,-2.8868930000000003e-08,9.91e+37,1691.34,21508.0,
-7.500000E+01,-1.321118e-08,9.91e+37,1692.398,21508.0,
-7.450000E+01,9.516973e-09,9.91e+37,1693.473,21508.0,
-7.400000E+01,3.224368e-08,9.91e+37,1694.529,21508.0,
-7.350000E+01,6.052581e-08,9.91e+37,1695.608,21508.0,
-7.300000E+01,8.022231e-08,9.91e+37,1696.6670000000001,21508.0,
-7.250000E+01,1.1557499999999999e-07,9.91e+37,1697.724,21508.0,
-7.200000E+01,1.3729160000000001e-07,9.91e+37,1698.78,21508.0,
-7.150000E+01,1.746645e-07,9.91e+37,1699.839,21508.0,
-7.100000E+01,2.064818e-07,9.91e+37,1700.896,21508.0,
-7.050000E+01,2.312286e-07,9.91e+37,1701.955,21508.0,
-7.000000E+01,2.74157e-07,9.91e+37,1703.014,21508.0,
-6.950000E+01,3.175902e-07,9.91e+37,1704.0729999999999,21508.0,
-6.900000E+01,3.5445809999999995e-07,9.91e+37,1705.132,21508.0,
-6.850000E+01,3.888009e-07,9.91e+37,1706.19,21508.0,
-6.800000E+01,4.3728429999999994e-07,9.91e+37,1707.2479999999998,21508.0,
-6.750000E+01,4.6657629999999996e-07,9.91e+37,1708.3039999999999,21508.0,
-6.700000E+01,5.266759e-07,9.91e+37,1709.362,21508.0,
-6.650000E+01,5.837452e-07,9.91e+37,1710.4370000000001,21508.0,
-6.600000E+01,6.312189e-07,9.91e+37,1711.525,21508.0,
-6.550000E+01,6.660667e-07,9.91e+37,1712.5829999999999,21508.0,
-6.500000E+01,7.307113000000001e-07,9.91e+37,1713.641,21508.0,
-6.450000E+01,7.807103999999999e-07,9.91e+37,1714.6979999999999,21508.0,
-6.400000E+01,8.463653000000001e-07,9.91e+37,1715.7579999999998,21508.0,
-6.350000E+01,9.115155e-07,9.91e+37,1716.8139999999999,21508.0,
-6.300000E+01,9.781802e-07,9.91e+37,1717.874,21508.0,
-6.250000E+01,1.037775e-06,9.91e+37,1718.932,21508.0,
-6.200000E+01,1.1120149999999999e-06,9.91e+37,1719.994,21508.0,
-6.150000E+01,1.2009019999999999e-06,9.91e+37,1721.056,21508.0,
-6.100000E+01,1.283728e-06,9.91e+37,1722.134,21508.0,
-6.050000E+01,1.378675e-06,9.91e+37,1723.193,21508.0,
-6.000000E+01,1.4443299999999999e-06,9.91e+37,1724.255,21508.0,
current through plasma (-mA) <tab> voltage across plasma (-V) <tab> time (sec),,,,,
0.926114	348.680772	0.002000,,,,,
0.933222	348.100131	0.102000,,,,,
0.936678	347.703200	0.202000,,,,,
0.933960	347.859733	0.302000,,,,,
0.928796	348.211850	0.402000,,,,,
0.927711	348.294806	0.502000,,,,,
0.930979	348.053894	0.602000,,,,,
0.935459	347.747885	0.702000,,,,,
0.936620	347.677603	0.802000,,,,,
0.932119	347.930411	0.902000,,,,,
0.926899	348.278839	1.002000,,,,,
0.927118	348.229174	1.102000,,,,,
0.932207	347.887660	1.202000,,,,,
0.935295	347.674667	1.312000,,,,,
0.933247	347.815025	1.402000,,,,,
0.928451	348.128977	1.503000,,,,,
0.925787	348.261035	1.602000,,,,,
0.928501	348.068577	1.702000,,,,,
0.933353	347.679704	1.802000,,,,,
0.935085	347.545575	1.902000,,,,,
0.931479	347.802287	2.002000,,,,,
0.925867	348.187083	2.102000,,,,,
0.925307	348.210613	2.202000,,,,,
0.930048	347.860721	2.313000,,,,,
0.934044	347.546467	2.402000,,,,,
0.932400	347.621266	2.502000,,,,,
0.926652	347.922916	2.602000,,,,,
0.922105	348.165469	2.703000,,,,,
0.924231	348.048346	2.802000,,,,,
0.931460	347.838974	2.902000,,,,,
0.936944	347.735987	3.002000,,,,,
0.936647	347.973350	3.102000,,,,,
0.932674	348.372430	3.203000,,,,,
0.931403	348.563045	3.302000,,,,,
0.935794	348.279456	3.402000,,,,,
0.941210	347.921999	3.502000,,,,,
0.942403	347.881662	3.602000,,,,,
0.938219	348.257930	3.702000,,,,,
0.933881	348.583715	3.802000,,,,,
0.934052	348.577562	3.904000,,,,,
0.938036	348.289889	4.002000,,,,,
0.942352	347.983105	4.103000,,,,,
0.941772	347.996223	4.202000,,,,,
0.936377	348.407192	4.302000,,,,,
0.932591	348.700986	4.402000,,,,,
0.934902	348.547190	4.502000,,,,,
0.940362	348.169484	4.602000,,,,,
0.942684	348.023277	4.702000,,,,,
0.939859	348.179298	4.802000,,,,,
0.935402	348.496224	4.902000,,,,,
0.934060	348.535044	5.002000,,,,,
0.937610	348.301854	5.102000,,,,,
0.942345	347.969514	5.202000,,,,,
0.942917	347.979763	5.302000,,,,,
0.938038	348.318393	5.403000,,,,,
0.933455	348.662017	5.502000,,,,,
0.934443	348.549834	5.602000,,,,,
0.939647	348.192364	5.702000,,,,,
0.942819	347.961536	5.803000,,,,,
0.940344	348.138445	5.902000,,,,,
0.935432	348.538060	6.002000,,,,,
0.933319	348.712366	6.102000,,,,,
0.936188	348.460668	6.202000,,,,,
0.941286	348.107965	6.302000,,,,,
0.943036	347.986679	6.402000,,,,,
0.939235	348.224709	6.502000,,,,,
0.934253	348.559765	6.602000,,,,,
0.934492	348.552474	6.702000,,,,,
0.939765	348.174469	6.802000,,,,,
0.943296	347.981521	6.902000,,,,,
0.941160	348.128646	7.002000,,,,,
0.936002	348.485030	7.102000,,,,,
0.933197	348.681511	7.202000,,,,,
0.935643	348.455066	7.302000,,,,,
0.940687	348.101838	7.403000,,,,,
0.942805	347.978609	7.502000,,,,,
0.939025	348.255101	7.603000,,,,,
0.934115	348.634796	7.702000,,,,,
0.933627	348.644600	7.802000,,,,,
0.938814	348.282699	7.902000,,,,,
0.943370	347.949677	8.002000,,,,,
0.941947	348.024768	8.103000,,,,,
0.937146	348.351087	8.202000,,,,,
0.934051	348.570994	8.302000,,,,,
0.936131	348.454656	8.402000,,,,,
0.940619	348.135469	8.504000,,,,,
0.943351	347.971942	8.603000,,,,,
0.940001	348.172940	8.702000,,,,,
0.934587	348.563176	8.802000,,,,,
0.933471	348.627053	8.902000,,,,,
0.937890	348.327869	9.002000,,,,,
0.942438	347.989466	9.102000,,,,,
0.941612	348.125527	9.202000,,,,,
0.936999	348.447798	9.302000,,,,,
0.933741	348.681787	9.402000,,,,,
0.935508	348.517926	9.502000,,,,,
0.940664	348.155559	9.602000,,,,,
0.943255	347.924095	9.702000,,,,,
0.940888	348.098596	9.802000,,,,,
0.935660	348.480507	9.902000,,,,,
0.933519	348.627759	10.003000,,,,,
0.937697	348.336345	10.102000,,,,,
0.942623	348.015451	10.202000,,,,,
0.942566	348.005926	10.302000,,,,,
0.937479	348.348441	10.402000,,,,,
0.933619	348.590167	10.502000,,,,,
0.934794	348.561915	10.602000,,,,,
0.939563	348.250637	10.702000,,,,,
0.942953	348.019834	10.802000,,,,,
0.941446	348.144080	10.902000,,,,,
0.936076	348.514716	11.002000,,,,,
0.933397	348.699802	11.102000,,,,,
0.936803	348.424621	11.202000,,,,,
0.941785	348.042937	11.302000,,,,,
0.943482	347.950110	11.402000,,,,,
0.939079	348.282301	11.502000,,,,,
0.934681	348.602182	11.603000,,,,,
0.933791	348.639804	11.702000,,,,,
0.938231	348.315722	11.803000,,,,,
0.942453	348.028519	11.902000,,,,,
0.942097	348.048236	12.002000,,,,,
0.937086	348.382186	12.102000,,,,,
0.933131	348.679201	12.202000,,,,,
0.935083	348.539943	12.302000,,,,,
0.940272	348.222208	12.402000,,,,,
0.943271	348.001348	12.502000,,,,,
0.939687	348.251061	12.602000,,,,,
0.934966	348.601578	12.702000,,,,,
0.934185	348.593727	12.802000,,,,,
0.937657	348.350527	12.902000,,,,,
0.942213	348.041964	13.002000,,,,,
0.943236	347.970045	13.106000,,,,,
0.938235	348.342517	13.202000,,,,,
0.933951	348.649738	13.302000,,,,,
0.934381	348.649719	13.402000,,,,,
0.939371	348.231575	13.502000,,,,,
0.942695	347.996626	13.602000,,,,,
0.941186	348.095436	13.702000,,,,,
