probe voltage (V), probe current (A), resistance (9.9e37 if not enabled) , timestamp , status word ,Unnamed: 5
-8.000000E+01,-1.763549e-07,9.91e+37,1759.6570000000002,21508.0,
-7.980000E+01,-1.475649e-07,9.91e+37,1760.717,21508.0,
-7.960000E+01,-1.339275e-07,9.91e+37,1761.775,21508.0,
-7.940000E+01,-1.2584610000000002e-07,9.91e+37,1762.8329999999999,21508.0,
-7.920000E+01,-1.1725960000000001e-07,9.91e+37,1763.89,21508.0,
-7.900000E+01,-1.2382569999999998e-07,9.91e+37,1764.9470000000001,21508.0,
-7.880000E+01,-1.167544e-07,9.91e+37,1766.026,21508.0,
-7.860000E+01,-1.157443e-07,9.91e+37,1767.085,21508.0,
-7.840000E+01,-1.096832e-07,9.91e+37,1768.1429999999998,21508.0,
-7.820000E+01,-1.111985e-07,9.91e+37,1769.204,21508.0,
-7.800000E+01,-1.0614760000000001e-07,9.91e+37,1770.2910000000002,21508.0,
-7.780000E+01,-9.251024000000001e-08,9.91e+37,1771.3470000000002,21508.0,
-7.760000E+01,-9.503565e-08,9.91e+37,1772.406,21508.0,
-7.740000E+01,-8.897459e-08,9.91e+37,1773.463,21508.0,
-7.720000E+01,-7.432699e-08,9.91e+37,1774.519,21508.0,
-7.700000E+01,-7.634730999999999e-08,9.91e+37,1775.592,21508.0,
-7.680000E+01,-7.432696000000001e-08,9.91e+37,1776.6670000000001,21508.0,
-7.660000E+01,-7.028624000000001e-08,9.91e+37,1777.7379999999998,21508.0,
-7.640000E+01,-5.967940000000001e-08,9.91e+37,1778.797,21508.0,
-7.620000E+01,-6.068954e-08,9.91e+37,1779.8529999999998,21508.0,
-7.600000E+01,-5.462848e-08,9.91e+37,1780.91,21508.0,
-7.580000E+01,-4.604198e-08,9.91e+37,1781.971,21508.0,
-7.560000E+01,-3.493001e-08,9.91e+37,1783.031,21508.0,
-7.540000E+01,-2.836385e-08,9.91e+37,1784.0929999999998,21508.0,
-7.520000E+01,-2.482822e-08,9.91e+37,1785.151,21508.0,
-7.500000E+01,-1.422135e-08,9.91e+37,1786.21,21508.0,
-7.480000E+01,-1.068573e-08,9.91e+37,1787.271,21508.0,
-7.460000E+01,-9.675547e-09,9.91e+37,1788.328,21508.0,
-7.440000E+01,9.011932e-09,9.91e+37,1789.386,21508.0,
-7.420000E+01,2.0627810000000003e-08,9.91e+37,1790.445,21508.0,
-7.400000E+01,2.517315e-08,9.91e+37,1791.505,21508.0,
-7.380000E+01,3.426384e-08,9.91e+37,1792.565,21508.0,
-7.360000E+01,4.4364629999999995e-08,9.91e+37,1793.6370000000002,21508.0,
-7.340000E+01,6.052583e-08,9.91e+37,1794.6960000000001,21508.0,
-7.320000E+01,6.55762e-08,9.91e+37,1795.756,21508.0,
-7.300000E+01,7.113159e-08,9.91e+37,1796.815,21508.0,
-7.280000E+01,8.27475e-08,9.91e+37,1797.872,21508.0,
-7.260000E+01,1.004238e-07,9.91e+37,1798.955,21508.0,
-7.240000E+01,1.074944e-07,9.91e+37,1800.016,21508.0,
-7.220000E+01,1.1961520000000001e-07,9.91e+37,1801.075,21508.0,
-7.200000E+01,1.3123120000000003e-07,9.91e+37,1802.134,21508.0,
-7.180000E+01,1.403218e-07,9.91e+37,1803.2079999999999,21508.0,
-7.160000E+01,1.590082e-07,9.91e+37,1804.2679999999998,21508.0,
-7.140000E+01,1.5951329999999998e-07,9.91e+37,1805.329,21508.0,
-7.120000E+01,1.69109e-07,9.91e+37,1806.391,21508.0,
-7.100000E+01,1.973911e-07,9.91e+37,1807.4489999999998,21508.0,
-7.080000E+01,2.07997e-07,9.91e+37,1808.5079999999998,21508.0,
-7.060000E+01,2.180978e-07,9.91e+37,1809.567,21508.0,
-7.040000E+01,2.3324880000000002e-07,9.91e+37,1810.629,21508.0,
-7.020000E+01,2.539556e-07,9.91e+37,1811.6870000000001,21508.0,
-7.000000E+01,2.554705e-07,9.91e+37,1812.746,21508.0,
current through plasma (-mA) <tab> voltage across plasma (-V) <tab> time (sec),,,,,
0.931015	349.285283	0.001000,,,,,
0.937578	348.724824	0.101000,,,,,
0.941820	348.262832	0.201000,,,,,
0.939223	348.450898	0.301000,,,,,
0.933457	348.873658	0.401000,,,,,
0.931668	348.977128	0.501000,,,,,
0.935953	348.662267	0.601000,,,,,
0.941105	348.334447	0.701000,,,,,
0.941329	348.316409	0.801000,,,,,
0.936963	348.649820	0.901000,,,,,
0.933022	348.890858	1.001000,,,,,
0.933726	348.859687	1.101000,,,,,
0.938282	348.518756	1.201000,,,,,
0.941980	348.245521	1.301000,,,,,
0.940015	348.397471	1.401000,,,,,
0.934642	348.801692	1.501000,,,,,
0.931955	349.021842	1.601000,,,,,
0.935745	348.707770	1.701000,,,,,
0.940842	348.342854	1.801000,,,,,
