probe voltage (V), probe current (A), resistance (9.9e37 if not enabled) , timestamp , status word ,Unnamed: 5
-4.000000E+01,-5.542182e-07,9.91e+37,516.5088,21508.0,
-3.950000E+01,-5.309819000000001e-07,9.91e+37,517.5693,21508.0,
-3.900000E+01,-5.218889e-07,9.91e+37,518.6289,21508.0,
-3.850000E+01,-5.037041e-07,9.91e+37,519.707,21508.0,
-3.800000E+01,-4.834983e-07,9.91e+37,520.7666,21508.0,
-3.750000E+01,-4.4864359999999996e-07,9.91e+37,521.8262,21508.0,
-3.700000E+01,-4.3045859999999996e-07,9.91e+37,522.8818,21508.0,
-3.650000E+01,-4.052015e-07,9.91e+37,523.9434,21508.0,
-3.600000E+01,-3.7741880000000004e-07,9.91e+37,525.0244,21508.0,
-3.550000E+01,-3.5317209999999997e-07,9.91e+37,526.0859,21508.0,
-3.500000E+01,-3.304405e-07,9.91e+37,527.1416,21508.0,
-3.450000E+01,-3.016476e-07,9.91e+37,528.2021,21508.0,
-3.400000E+01,-2.733596e-07,9.91e+37,529.2617,21508.0,
-3.350000E+01,-2.420411e-07,9.91e+37,530.3193,21508.0,
-3.300000E+01,-2.223406e-07,9.91e+37,531.3799,21508.0,
-3.250000E+01,-1.895064e-07,9.91e+37,532.4365,21508.0,
-3.200000E+01,-1.682905e-07,9.91e+37,533.5166,21508.0,
-3.150000E+01,-1.4707460000000002e-07,9.91e+37,534.5781,21508.0,
-3.100000E+01,-1.213124e-07,9.91e+37,535.6631,21508.0,
-3.050000E+01,-8.645785e-08,9.91e+37,536.7373,21508.0,
-3.000000E+01,-5.665459999999999e-08,9.91e+37,537.8105,21508.0,
-2.950000E+01,-3.089248e-08,9.91e+37,538.8711,21508.0,
-2.900000E+01,3.961854e-09,9.91e+37,539.9307,21508.0,
-2.850000E+01,3.679262e-08,9.91e+37,540.9883,21508.0,
-2.800000E+01,7.164372999999999e-08,9.91e+37,542.0479,21508.0,
-2.750000E+01,1.1053549999999999e-07,9.91e+37,543.1045,21508.0,
-2.700000E+01,1.47912e-07,9.91e+37,544.1621,21508.0,
-2.650000E+01,1.883191e-07,9.91e+37,545.2334,21508.0,
-2.600000E+01,2.211496e-07,9.91e+37,546.291,21508.0,
-2.550000E+01,2.62062e-07,9.91e+37,547.3711,21508.0,
-2.500000E+01,2.9539770000000003e-07,9.91e+37,548.4277,21508.0,
-2.450000E+01,3.221671e-07,9.91e+37,549.5068,21508.0,
-2.400000E+01,3.595438e-07,9.91e+37,550.5654,21508.0,
-2.350000E+01,3.792417e-07,9.91e+37,551.625,21508.0,
-2.300000E+01,4.2217459999999993e-07,9.91e+37,552.6826,21508.0,
-2.250000E+01,4.5197490000000003e-07,9.91e+37,553.7568,21508.0,
-2.200000E+01,4.848055e-07,9.91e+37,554.8184,21508.0,
-2.150000E+01,5.115749999999999e-07,9.91e+37,555.875,21508.0,
