wavelength,intensity
350,-0.16
351,-4.3
352,-0.2
353,1
354,3.65
355,-4.46
356,6.35
357,9.85
358,6.25
359,3.88
360,6.44
361,1.87
362,2.4
363,7.4
364,5.66
365,5.61
366,3.75
367,7.48
368,6.9
369,5.56
370,11.94
371,7.86
372,7.48
373,6.16
374,5.93
375,6.7
376,3.84
377,5.61
378,-1.99
379,-0.07
380,9.64
381,14.12
382,3.9
383,5.28
384,-1.62
385,5.8
386,8.1
387,10.17
388,13.61
389,19.74
390,26.6
391,29.06
392,43.62
393,13.87
394,7.51
395,6.69
396,7.69
397,13.1
398,13.41
399,3.19
400,4.67
401,14.51
402,7.21
403,12.31
404,32.35
405,8.94
406,3.75
407,11.09
408,11.87
409,6.03
410,11.86
411,7.45
412,1
413,7
414,12.61
415,4.83
416,5.31
417,4.8
418,8.39
419,5.37
420,5.61
421,4.39
422,2.97
423,13.65
424,13.52
425,14.68
426,7.8
427,20.07
428,28.72
429,19.34
430,8.94
431,0.68
432,6.13
433,2.37
434,7.23
435,13.19
436,7.37
437,5.42
438,5.31
439,6.68
440,13.05
441,8.38
442,10.65
443,5.94
444,4.94
445,6.4
446,1.76
447,9.56
448,30.36
449,8.17
450,3.72
451,7.2
452,2.68
453,3.69
454,6.08
455,8.28
456,8.18
457,4.48
458,6.48
459,-0.14
460,3.65
461,1.35
462,5.41
463,6.72
464,4.7
465,11.31
466,6.43
467,11.74
468,6.23
469,9.53
470,12.75
471,10.53
472,17.59
473,3.78
474,6.4
475,5.78
476,5.94
477,10.71
478,5.55
479,4.33
480,2.45
481,5.46
482,4.86
483,9.85
484,9.91
485,3.81
486,7.22
487,14.71
488,7.38
489,6.47
490,7.91
491,7.31
492,18.92
493,64.54
494,16.28
495,3.58
496,9.93
497,7.68
498,3.48
499,4.24
500,3.98
501,6.8
502,140.22
503,94.23
504,19.33
505,5.58
506,11.48
507,3.58
508,5.4
509,-0.52
510,3.19
511,7.41
512,6.94
513,0.03
514,3.24
515,4.99
516,7.23
517,2.39
518,5.57
519,1.79
520,3.07
521,-2.27
522,9.58
523,6.85
524,2.04
525,1.91
526,2.41
527,-0.86
528,0.46
529,-1.1
530,0.58
531,-7.35
532,3.99
533,3.71
534,0.22
535,-0.17
536,6.25
537,0.45
538,6.51
539,0.01
540,4.51
541,2.98
542,-5.31
543,1.08
544,3.41
545,3.56
546,3.72
547,3.37
548,-1.09
549,0.91
550,2.56
551,2.33
552,-0.34
553,0.76
554,3.35
555,0.45
556,6.63
557,8.32
558,1.94
559,1.27
560,-0.41
561,3.17
562,-5.63
563,6.47
564,3.79
565,8.45
566,-3.94
567,-0.58
568,3
569,2.56
570,3.58
571,3.96
572,-3.96
573,5.81
574,6.67
575,4.05
576,3.52
577,4.69
578,3.3
579,8.11
580,7.39
581,8.65
582,13.62
583,2.72
584,7.85
585,2.53
586,2.8
587,4.86
588,39.15
589,22.62
590,8.61
591,5.26
592,3.84
593,0.35
594,0.56
595,7.09
596,8.82
597,5.02
598,10.11
599,2.55
600,1.36
601,1.52
602,0.72
603,4.35
604,6.92
605,-1.91
606,4.99
607,5.58
608,2.6
609,2.18
610,1.82
611,2.77
612,3.96
613,8.51
614,-0.18
615,4.72
616,2.18
617,1.99
618,0.47
619,-1.04
620,4.51
621,6.5
622,-0.29
623,-2.23
624,3.58
625,6.7
626,2.26
627,0.69
628,-5.37
629,4.09
630,5.82
631,4.03
632,0.66
633,21.44
634,6.75
635,-2.36
636,-2.66
637,3.18
638,8.53
639,0.24
640,2.66
641,3.48
642,9.31
643,6.06
644,4.41
645,4.32
646,3.11
647,3.68
648,1.57
649,2.86
650,3.09
651,0.5
652,2.18
653,5.23
654,1.46
655,-1.37
656,8.1
657,8.63
658,9.74
659,0.59
660,5.71
661,4.76
662,1.17
663,7.04
664,5.3
665,3.24
666,3.47
667,7.68
668,38.84
669,54.86
670,19.41
671,11.57
672,4.53
673,4.36
674,2.85
675,4.33
676,1.17
677,1.63
678,6.75
679,4.49
680,9.63
681,3.13
682,3.83
683,7.37
684,5.51
685,-1.78
686,4.34
687,-0.41
688,-2.31
689,6.01
690,-0.43
691,3.1
692,2.83
693,9.9
694,-0.02
695,2.12
696,4.42
697,3.52
698,-4.08
699,6.83
700,5.81
701,-0.76
702,16.3
703,-2.58
704,4.7
705,4.07
706,3.68
707,14.69
708,7.98
709,8.71
710,2.6
711,12.34
712,5.58
713,-0.42
714,4.57
