wavelength,intensity
350,-3.32
351,-9.36
352,-12.29
353,-1.55
354,26.52
355,-10.77
356,2.83
357,33.29
358,98.99
359,19.73
360,-10.32
361,-12.36
362,-17.62
363,-11.93
364,-4.93
365,-11.16
366,-9.48
367,-11.9
368,-4.49
369,-0.38
370,-3.16
371,7.88
372,-3.43
373,-5.46
374,-5.24
375,14.17
376,64
377,0.75
378,-14.93
379,2.13
380,36.63
381,93.43
382,10.48
383,-8
384,-11.27
385,-11.6
386,-3.85
387,-0.66
388,-6.81
389,1.13
390,-5.82
391,-0.32
392,-1.59
393,4.83
394,8.19
395,10.62
396,-9.97
397,-5.13
398,1.87
399,8.47
400,49.17
401,23.33
402,-3.42
403,-2.27
404,15.82
405,11.52
406,52.09
407,24.79
408,-1.71
409,-1.14
410,-1.12
411,-12.08
412,-0.86
413,-0.09
414,-1.37
415,-4.53
416,-3.34
417,-7.32
418,-5.24
419,0.5
420,6.76
421,5.71
422,-2.23
423,-7.49
424,-2.91
425,-2.22
426,6.75
427,30.49
428,24.51
429,-2.11
430,-2.26
431,-4.38
432,-5.74
433,-0.4
434,10.05
435,15.5
436,2.87
437,-3.2
438,-10.37
439,-2.52
440,-2.59
441,1.6
442,-0.82
443,-0.33
444,-9.75
445,-5.07
446,-2.31
447,-6.56
448,-2.32
449,-0.4
450,-1.18
451,-1.49
452,-1.49
453,-2.52
454,2.09
455,-5.13
456,3.57
457,1.16
458,5.43
459,1.94
460,-3.44
461,-6.34
462,-2
463,-8.8
464,-2.5
465,-2.03
466,0.68
467,0.78
468,-0.05
469,-4.26
470,-0.33
471,1.92
472,-4.29
473,-10.17
474,-7.55
475,-8.18
476,-1.73
477,1.98
478,-2.12
479,-2.99
480,-3.94
481,-6.65
482,-0.94
483,-5.21
484,-9.92
485,-5.34
486,-6.02
487,-7.89
488,-0.46
489,-0.47
490,-1.93
491,-1.91
492,-0.57
493,15.67
494,-3.64
495,-3.73
496,-2.07
497,-5.35
498,-3
499,-7.15
500,-10.8
501,-8.39
502,-5.22
503,-3.43
504,-3.81
505,-0.49
506,-4.6
507,-5.06
508,-9.46
509,-8.85
510,-4.27
511,-3.58
512,-6.75
513,-5.69
514,-6.01
515,-4.87
516,-13.1
517,-11.21
518,-3.58
519,-1.22
520,-5.75
521,-8.07
522,-9.36
523,-5.93
524,-3.12
525,-5.44
526,-6.93
527,-9.7
528,-4.97
529,-8.07
530,-8.99
531,-4.39
532,-0.79
533,-6.72
534,-1.07
535,-4.67
536,-8.31
537,-6.88
538,-0.36
539,-1.88
540,-5.49
541,-2.61
542,-4.36
543,-12.62
544,-4.84
545,-5.3
546,-4.15
547,-10.76
548,-4.58
549,-9.54
550,-10.4
551,-6.87
552,-7.43
553,-5.94
554,-4.19
555,-5.47
556,-2.39
557,-4.54
558,-5.4
559,-4.58
560,-11.38
561,-7.41
562,-8.76
563,-13
564,-5.77
565,-12.53
566,-4.47
567,-3.47
568,-12.85
569,-2.24
570,-7.48
571,-8.44
572,-4.3
573,-3.97
574,1.16
575,4.21
576,6.7
577,-3.12
578,4.49
579,8.82
580,2.12
581,4.76
582,0.71
583,-0.28
584,0.74
585,0.62
586,-0.85
587,1.61
588,4.57
589,1.31
590,1.11
591,1.86
592,1.93
593,2.93
594,1.62
595,-2.53
596,3.19
597,-4.32
598,-6.3
599,3.53
600,2.66
601,2.03
602,-4.04
603,-3.75
604,-2.93
605,0.31
606,7.34
607,7.51
