wavelength,intensity
350,0.56
351,-2.71
352,4.07
353,-1.23
354,-0.69
355,-1.73
356,1.17
357,4.45
358,1.42
359,1.83
360,-5.23
361,-0.17
362,-3.34
363,1.97
364,-6.63
365,-6.32
366,-2.38
367,-3.29
368,-2.31
369,3.4
370,2.43
371,1.97
372,6.96
373,1.08
374,1.37
375,-0.43
376,2.28
377,7.71
378,2.44
379,0.68
380,-0.96
381,8.98
382,1.82
383,-0.48
384,6.23
385,1.16
386,2.69
387,0.93
388,8.07
389,18.46
390,30.25
391,69.14
392,117.04
393,16.7
394,2.8
395,7.48
396,9.21
397,7.16
398,5.07
399,4.05
400,3.77
401,4.8
402,1.01
403,3.59
404,33.75
405,9.12
406,8.97
407,2.34
408,2.39
409,1.35
410,2.57
411,7.56
412,2.22
413,5.22
414,4.21
415,6.05
416,1.25
417,-2.99
418,6.16
419,8.45
420,1.72
421,6.81
422,9.18
423,14.46
424,14.75
425,13.9
426,17.43
427,48.42
428,86.13
429,45.82
430,-2.56
431,7.47
432,1.74
433,0.15
434,5.34
435,7.38
436,6.35
437,6.78
438,3.39
439,-1.47
440,2.96
441,6.94
442,5.54
443,6.47
444,6.72
445,7.46
446,7.47
447,6.77
448,15.61
449,5.31
450,1.22
451,1.92
452,9.96
453,-3.32
454,11.95
455,2.28
456,7.29
457,9.02
458,9.3
459,4.79
460,16.32
461,1.23
462,-2.8
463,2.08
464,9.87
465,10.76
466,11.13
467,8.32
468,10.04
469,9.31
470,11.89
471,23.25
472,20.59
473,4.04
474,-0.13
475,6.3
476,5.06
477,1.73
478,4.38
479,0.35
480,4.84
481,4.93
482,-2.78
483,2.79
484,2.89
485,2.94
486,4.98
487,10.48
488,2.97
489,2.37
490,5.63
491,4.22
492,8.61
493,53.11
494,10.1
495,8.31
496,6.04
497,13.25
498,-2.1
499,-2.21
500,1.8
501,9.16
502,75.61
503,39.23
504,10.74
505,-1.7
506,1.46
507,3.63
508,3.02
509,6.12
510,4.68
511,-2.87
512,6.68
513,-6.83
514,-0.5
515,-0.67
516,-0.33
517,-1.24
518,-0.05
519,5.33
520,-4.77
521,7.75
522,1.46
523,2.36
524,2.62
525,1.05
526,2.63
527,4.37
528,2.45
529,10.66
530,3.32
531,0.31
532,2.17
533,-2.5
534,-0.28
535,1.87
536,0.04
537,4.89
538,-2.67
539,5.94
540,-0.71
541,0.15
542,2.85
543,0.01
544,0.45
545,2.36
546,2.16
547,2.04
548,0.2
549,-4.79
550,0.2
551,1.1
552,1.14
553,-1.33
554,4.33
555,0.01
556,0.66
557,-0.22
558,2.18
559,4.61
560,0.43
561,3
562,1.87
563,5.46
564,0.31
565,1.46
566,0.93
567,1.37
568,-3.34
569,-3.41
570,-6.29
571,0.67
572,-0.38
573,6.65
574,-2.53
575,13.68
576,4.36
577,1.3
578,4.87
579,2.65
580,1.88
581,8.66
582,4.3
583,3.62
584,3.25
585,7.43
586,4.4
587,12.07
588,22.11
589,15.41
590,1.53
591,7.56
592,8.51
593,4.18
594,-2.6
595,3.93
596,3.01
597,1.04
598,-1.91
599,0.71
600,0.18
601,-0.47
602,4.69
603,2.32
604,3.91
605,1.08
606,-1.29
607,5.3
608,3.81
609,-0.1
610,0.84
611,0.24
612,-3.6
613,-3.81
614,1.38
615,1.66
616,2.58
617,2.3
618,-1.32
619,2.26
