probe voltage (V), probe current (A), resistance (9.9e37 if not enabled) , timestamp , status word ,Unnamed: 5
-2.000000E+02,-1.966433e-06,9.91e+37,64.47559,21508.0,
-1.950000E+02,-1.901275e-06,9.91e+37,65.53711,21508.0,
-1.900000E+02,-1.8426840000000001e-06,9.91e+37,66.61523000000001,21508.0,
-1.850000E+02,-1.782577e-06,9.91e+37,67.67285,21508.0,
-1.800000E+02,-1.721963e-06,9.91e+37,68.72851999999999,21508.0,
-1.750000E+02,-1.661352e-06,9.91e+37,69.79004,21508.0,
-1.700000E+02,-1.6042750000000002e-06,9.91e+37,70.86816,21508.0,
-1.650000E+02,-1.544168e-06,9.91e+37,71.92676,21508.0,
-1.600000E+02,-1.481536e-06,9.91e+37,72.98633000000001,21508.0,
-1.550000E+02,-1.419916e-06,9.91e+37,74.0459,21508.0,
-1.500000E+02,-1.3613220000000002e-06,9.91e+37,75.10351999999999,21508.0,
-1.450000E+02,-1.301216e-06,9.91e+37,76.16601999999999,21508.0,
-1.400000E+02,-1.23909e-06,9.91e+37,77.24512,21508.0,
-1.350000E+02,-1.176456e-06,9.91e+37,78.30664,21508.0,
-1.300000E+02,-1.111803e-06,9.91e+37,79.38184,21508.0,
-1.250000E+02,-1.0516960000000001e-06,9.91e+37,80.43848,21508.0,
-1.200000E+02,-9.860335000000001e-07,9.91e+37,81.5,21508.0,
-1.150000E+02,-9.168351e-07,9.91e+37,82.57813,21508.0,
-1.100000E+02,-8.552123e-07,9.91e+37,83.63866999999999,21508.0,
-1.050000E+02,-7.844985e-07,9.91e+37,84.69824,21508.0,
-1.000000E+02,-7.102495000000001e-07,9.91e+37,85.78125,21508.0,
-9.500000E+01,-6.425659000000001e-07,9.91e+37,86.83887,21508.0,
-9.000000E+01,-5.728621e-07,9.91e+37,87.89648000000001,21508.0,
-8.500000E+01,-4.996224999999999e-07,9.91e+37,88.95605,21508.0,
-8.000000E+01,-4.223423e-07,9.91e+37,90.01563,21508.0,
-7.500000E+01,-3.581942e-07,9.91e+37,91.07812,21508.0,
-7.000000E+01,-2.799045e-07,9.91e+37,92.16309,21508.0,
-6.500000E+01,-2.006035e-07,9.91e+37,93.22461,21508.0,
-6.000000E+01,-1.1473649999999999e-07,9.91e+37,94.28516,21508.0,
-5.500000E+01,-3.291035e-08,9.91e+37,95.3457,21508.0,
-5.000000E+01,1.165874e-07,9.91e+37,96.42969000000001,21508.0,
-4.500000E+01,5.100201e-07,9.91e+37,97.48926,21508.0,
-4.000000E+01,1.113048e-06,9.91e+37,98.55078,21508.0,
-3.500000E+01,1.782238e-06,9.91e+37,99.61328,21508.0,
-3.000000E+01,2.6933479999999997e-06,9.91e+37,100.6719,21508.0,
-2.500000E+01,4.308491e-06,9.91e+37,101.7305,21508.0,
-2.000000E+01,6.714038e-06,9.91e+37,102.8096,21508.0,
-1.500000E+01,9.549884e-06,9.91e+37,103.8691,21508.0,
-1.000000E+01,1.280038e-05,9.91e+37,104.9287,21508.0,
-5.000000E+00,1.6283699999999998e-05,9.91e+37,106.0068,21508.0,
+0.000000E+00,1.989227e-05,9.91e+37,107.0693,21508.0,
+5.000000E+00,2.355688e-05,9.91e+37,108.1514,21508.0,
+1.000000E+01,2.735588e-05,9.91e+37,109.2109,21508.0,
current through plasma (-mA) <tab> voltage across plasma (-V) <tab> time (sec),,,,,
0.957890	446.933946	0.002000,,,,,
0.957417	446.968779	0.102000,,,,,
0.957394	446.937057	0.202000,,,,,
0.957914	446.980380	0.302000,,,,,
0.957985	446.883256	0.402000,,,,,
0.957835	446.906342	0.502000,,,,,
0.957916	446.935333	0.602000,,,,,
0.958286	446.829825	0.702000,,,,,
0.958032	446.852140	0.802000,,,,,
0.957142	447.044499	0.903000,,,,,
0.957575	446.990241	1.002000,,,,,
0.958439	446.827829	1.102000,,,,,
0.958190	446.923422	1.202000,,,,,
0.957626	446.864291	1.302000,,,,,
0.957764	446.867571	1.402000,,,,,
0.957647	446.872666	1.502000,,,,,
0.957930	446.915595	1.602000,,,,,
0.958601	446.899346	1.702000,,,,,
0.958246	446.921967	1.802000,,,,,
0.957840	446.949655	1.902000,,,,,
0.957633	446.943196	2.002000,,,,,
