probe voltage (V), probe current (A), resistance (9.9e37 if not enabled) , timestamp , status word ,Unnamed: 5
-2.500000E+01,-6.675153e-08,9.91e+37,262.209,21508.0,
-2.475000E+01,-4.3517080000000004e-08,9.91e+37,263.2656,21508.0,
-2.450000E+01,-2.735404e-08,9.91e+37,264.3271,21508.0,
-2.425000E+01,-2.7354029999999998e-08,9.91e+37,265.3857,21508.0,
-2.400000E+01,-2.937437e-08,9.91e+37,266.4736,21508.0,
-2.375000E+01,-1.624193e-08,9.91e+37,267.5352,21508.0,
-2.350000E+01,-1.4221549999999999e-08,9.91e+37,268.5967,21508.0,
-2.325000E+01,-6.140012e-09,9.91e+37,269.6563,21508.0,
-2.300000E+01,-5.839639e-10,9.91e+37,270.7354,21508.0,
-2.275000E+01,2.9515000000000004e-09,9.91e+37,271.8145,21508.0,
-2.250000E+01,1.4363670000000002e-09,9.91e+37,272.874,21508.0,
-2.225000E+01,-1.089057e-09,9.91e+37,273.9551,21508.0,
-2.200000E+01,1.860787e-08,9.91e+37,275.0137,21508.0,
-2.175000E+01,1.4567520000000001e-08,9.91e+37,276.0713,21508.0,
-2.150000E+01,1.406247e-08,9.91e+37,277.1328,21508.0,
-2.125000E+01,2.264824e-08,9.91e+37,278.1924,21508.0,
-2.100000E+01,2.719363e-08,9.91e+37,279.2783,21508.0,
-2.075000E+01,3.3759199999999996e-08,9.91e+37,280.3379,21508.0,
-2.050000E+01,3.325415e-08,9.91e+37,281.3975,21508.0,
-2.025000E+01,3.830462e-08,9.91e+37,282.459,21508.0,
-2.000000E+01,4.487017e-08,9.91e+37,283.5459,21508.0,
-1.975000E+01,5.1435750000000004e-08,9.91e+37,284.6055,21508.0,
-1.950000E+01,4.840547e-08,9.91e+37,285.667,21508.0,
-1.925000E+01,5.648619999999999e-08,9.91e+37,286.7256,21508.0,
-1.900000E+01,5.6991239999999994e-08,9.91e+37,287.7832,21508.0,
-1.875000E+01,6.052664e-08,9.91e+37,288.8438,21508.0,
-1.850000E+01,6.355685e-08,9.91e+37,289.9053,21508.0,
-1.825000E+01,6.81022e-08,9.91e+37,290.9775,21508.0,
-1.800000E+01,7.214259e-08,9.91e+37,292.0566,21508.0,
-1.775000E+01,7.921319000000001e-08,9.91e+37,293.1143,21508.0,
-1.750000E+01,7.769808e-08,9.91e+37,294.1719,21508.0,
-1.725000E+01,8.527372e-08,9.91e+37,295.2305,21508.0,
-1.700000E+01,8.274851e-08,9.91e+37,296.29,21508.0,
-1.675000E+01,8.678885000000001e-08,9.91e+37,297.3477,21508.0,
-1.650000E+01,9.082922999999999e-08,9.91e+37,298.4082,21508.0,
-1.625000E+01,9.739480000000001e-08,9.91e+37,299.4678,21508.0,
-1.600000E+01,1.0093010000000001e-07,9.91e+37,300.5264,21508.0,
-1.575000E+01,9.840479e-08,9.91e+37,301.585,21508.0,
-1.550000E+01,1.064856e-07,9.91e+37,302.6641,21508.0,
-1.525000E+01,1.1254610000000001e-07,9.91e+37,303.7227,21508.0,
-1.500000E+01,1.1456630000000001e-07,9.91e+37,304.7822,21508.0,
current through plasma (-mA) <tab> voltage across plasma (-V) <tab> time (sec),,,,,
0.077618	588.197505	0.001000,,,,,
0.076871	588.269270	0.101000,,,,,
0.077523	588.189547	0.201000,,,,,
0.077886	588.218435	0.301000,,,,,
0.077416	588.256664	0.401000,,,,,
0.077591	588.256992	0.501000,,,,,
0.078089	588.201604	0.601000,,,,,
0.077941	588.192276	0.701000,,,,,
0.077478	588.227973	0.801000,,,,,
0.077272	588.211185	0.901000,,,,,
0.077835	588.225146	1.001000,,,,,
0.077520	588.237376	1.101000,,,,,
0.077082	588.276823	1.201000,,,,,
0.077007	588.300919	1.301000,,,,,
0.077270	588.268052	1.401000,,,,,
0.077413	588.264857	1.501000,,,,,
0.077870	588.183288	1.601000,,,,,
0.078049	588.215352	1.701000,,,,,
0.077641	588.221213	1.801000,,,,,
0.076866	588.292788	1.901000,,,,,
0.077358	588.262033	2.001000,,,,,
0.078369	588.198347	2.101000,,,,,
0.078259	588.219131	2.201000,,,,,
0.077170	588.290181	2.301000,,,,,
0.077255	588.196041	2.401000,,,,,
0.077737	588.186519	2.501000,,,,,
0.077822	588.200828	2.601000,,,,,
0.077571	588.251356	2.701000,,,,,
0.077608	588.287481	2.801000,,,,,
0.077699	588.235764	2.901000,,,,,
0.076955	588.292334	3.001000,,,,,
0.076958	588.265663	3.101000,,,,,
0.077730	588.211272	3.201000,,,,,
0.077945	588.187251	3.301000,,,,,
0.077405	588.249863	3.401000,,,,,
0.077549	588.244895	3.502000,,,,,
0.077872	588.214883	3.601000,,,,,
0.077508	588.247986	3.701000,,,,,
0.077299	588.292441	3.801000,,,,,
0.078117	588.189652	3.901000,,,,,
0.078006	588.189322	4.001000,,,,,
0.077177	588.261621	4.101000,,,,,
0.076550	588.341127	4.201000,,,,,
0.077536	588.262747	4.301000,,,,,
0.078044	588.197625	4.401000,,,,,
0.077370	588.269927	4.501000,,,,,
0.076968	588.277410	4.601000,,,,,
0.077033	588.289128	4.701000,,,,,
0.077727	588.199006	4.801000,,,,,
0.077338	588.239087	4.901000,,,,,
0.077767	588.232767	5.001000,,,,,
0.077805	588.226891	5.101000,,,,,
0.077179	588.295243	5.201000,,,,,
0.077141	588.314993	5.301000,,,,,
0.077663	588.247708	5.401000,,,,,
0.078431	588.196889	5.501000,,,,,
0.077458	588.229728	5.601000,,,,,
0.077082	588.240751	5.701000,,,,,
0.077529	588.214529	5.801000,,,,,
0.077722	588.239788	5.901000,,,,,
0.077281	588.275547	6.001000,,,,,
0.076697	588.299435	6.101000,,,,,
0.077526	588.253283	6.201000,,,,,
0.077704	588.208654	6.301000,,,,,
0.076917	588.246939	6.401000,,,,,
0.077180	588.238653	6.501000,,,,,
0.078304	588.180528	6.601000,,,,,
0.078025	588.256900	6.701000,,,,,
